comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k4_to_k8,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,retrieval_evidence_relevance,72,0.0694,0.0411,0.0000,-0.0139,0.1528,9.72,87.50,2.78
k4_to_k8,retrieval_result_persona_fit,72,0.1319,0.0593,0.0000,0.0139,0.2500,18.06,76.39,5.56
k4_to_k8,retrieval_source_quality,72,0.0556,0.0390,0.0000,-0.0139,0.1250,8.33,88.89,2.78
k4_to_k8,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0278,0.0195,0.0000,0.0000,0.0694,2.78,97.22,0.00
k4_to_k8,search_latency,72,55.7017,2.5004,58.7060,50.3639,60.2700,100.00,0.00,0.00
k4_to_k8,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,synthesis_latency,72,2.8827,0.3208,3.3968,2.2779,3.5098,84.72,0.00,15.28
k4_to_k8,tavily_calls,72,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k4_to_k8,total_latency,72,58.5844,2.4657,62.4269,53.2911,63.0767,100.00,0.00,0.00
k4_to_k8,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,total_retrieved_context_size,72,20462.2639,951.0126,23566.5000,18598.2858,22207.6455,90.28,9.72,0.00
k4_to_k8,total_synthesis_context_size,72,18190.8333,913.6457,20381.5000,16393.4743,19890.8330,90.28,9.72,0.00
k4_to_k8,unique_domains,72,11.5833,0.6625,12.5000,10.3194,12.8753,90.28,9.72,0.00
k4_to_k8,unique_urls,72,15.1667,0.7398,18.0000,13.7913,16.5285,90.28,9.72,0.00
k1_to_k4,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,duplicate_url_rate,72,0.0813,0.0109,0.0500,0.0597,0.1042,63.89,36.11,0.00
k1_to_k4,fanout_faithfulness_to_user_query,72,0.1250,0.0814,0.0000,-0.0281,0.2917,11.11,86.11,2.78
k1_to_k4,fanout_overpersonalization_risk,72,0.0139,0.0139,0.0000,0.0000,0.0417,1.39,98.61,0.00
k1_to_k4,fanout_persona_field_use,72,2.8750,0.1234,3.0000,2.6111,3.1250,98.61,1.39,0.00
k1_to_k4,fanout_query_diversity,72,3.7639,0.0753,4.0000,3.6111,3.9028,100.00,0.00,0.00
k1_to_k4,fanout_query_specificity,72,2.5694,0.0762,3.0000,2.4167,2.7222,98.61,1.39,0.00
k1_to_k4,fanout_search_realism,72,0.4306,0.0708,0.0000,0.3056,0.5556,45.83,50.00,4.17
k1_to_k4,final_actionability_without_overclaiming,72,0.3889,0.1038,0.0000,0.1941,0.5833,38.89,52.78,8.33
k1_to_k4,final_citation_support,72,0.1806,0.0799,0.0000,0.0417,0.3472,6.94,93.06,0.00
k1_to_k4,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,final_domain_safety,72,0.0556,0.1168,0.0000,-0.1667,0.2778,23.61,61.11,15.28
