comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k2,retrieval_source_quality,72,0.1944,0.0941,0.0000,0.0139,0.3750,34.72,45.83,19.44
k1_to_k2,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0000,0.0523,0.0000,-0.0833,0.1111,1.39,95.83,2.78
k1_to_k2,search_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,synthesis_latency,72,1.1903,0.2222,1.1377,0.7684,1.6408,75.00,0.00,25.00
k1_to_k2,tavily_calls,72,1.0000,0.0000,1.0000,1.0000,1.0000,100.00,0.00,0.00
k1_to_k2,total_latency,72,1.1903,0.2222,1.1377,0.7684,1.6408,75.00,0.00,25.00
k1_to_k2,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,total_retrieved_context_size,72,4611.6528,286.2673,4374.5000,4117.3351,5149.3250,100.00,0.00,0.00
k1_to_k2,total_synthesis_context_size,72,4356.5278,298.8462,4049.5000,3834.2840,4933.2010,100.00,0.00,0.00
k1_to_k2,unique_domains,72,4.3194,0.0965,4.5000,4.1250,4.5000,100.00,0.00,0.00
k1_to_k2,unique_urls,72,4.7361,0.0713,5.0000,4.5972,4.8615,100.00,0.00,0.00
k2_to_k4,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,duplicate_url_rate,72,0.0139,0.0071,0.0000,0.0007,0.0285,30.56,52.78,16.67
k2_to_k4,fanout_faithfulness_to_user_query,72,0.1667,0.0713,0.0000,0.0417,0.3194,12.50,86.11,1.39
k2_to_k4,fanout_overpersonalization_risk,72,-0.1111,0.0829,0.0000,-0.2778,0.0556,2.78,86.11,11.11
k2_to_k4,fanout_persona_field_use,72,1.3889,0.1038,1.0000,1.1944,1.5694,81.94,18.06,0.00
k2_to_k4,fanout_query_diversity,72,2.0833,0.1023,2.0000,1.8889,2.2778,94.44,5.56,0.00
k2_to_k4,fanout_query_specificity,72,1.1389,0.0891,1.0000,0.9722,1.3059,80.56,19.44,0.00
k2_to_k4,fanout_search_realism,72,0.1667,0.0442,0.0000,0.0833,0.2639,16.67,83.33,0.00
k2_to_k4,final_actionability_without_overclaiming,72,0.1667,0.1065,0.0000,-0.0278,0.3611,31.94,51.39,16.67
