macro_domain,task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
education,retrieval_sensitive,retrieval_constraint_coverage,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,3.53,2.87,0.67,true
education,retrieval_sensitive,retrieval_constraint_coverage,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,2.47,3.53,-1.07,true
education,retrieval_sensitive,retrieval_disconfirming_coverage,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
education,retrieval_sensitive,retrieval_disconfirming_coverage,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.87,5.00,-0.13,true
education,retrieval_sensitive,retrieval_disconfirming_coverage,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.87,5.00,-0.13,true
education,retrieval_sensitive,retrieval_disconfirming_coverage,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,1.67,4.87,-3.20,true
education,retrieval_sensitive,retrieval_distractor_robustness,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
education,retrieval_sensitive,retrieval_distractor_robustness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.73,5.00,-0.27,true
education,retrieval_sensitive,retrieval_distractor_robustness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.73,5.00,-0.27,true
education,retrieval_sensitive,retrieval_distractor_robustness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,4.73,0.27,true
education,retrieval_sensitive,retrieval_evidence_relevance,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.00,4.20,-0.20,true
education,retrieval_sensitive,retrieval_evidence_relevance,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.67,4.00,0.67,true
education,retrieval_sensitive,retrieval_evidence_relevance,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.67,4.20,0.47,true
education,retrieval_sensitive,retrieval_evidence_relevance,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,3.93,4.67,-0.73,true
education,retrieval_sensitive,retrieval_result_persona_fit,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.40,3.00,-0.60,true
