comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k4_to_k8,fanout_overpersonalization_risk,72,-0.0278,0.0739,0.0000,-0.1667,0.1253,6.94,80.56,12.50
k4_to_k8,fanout_persona_field_use,72,0.6944,0.1164,0.5000,0.4719,0.9167,50.00,45.83,4.17
k4_to_k8,fanout_query_diversity,72,0.3194,0.0858,0.0000,0.1667,0.4861,26.39,69.44,4.17
k4_to_k8,fanout_query_specificity,72,0.3889,0.0755,0.0000,0.2361,0.5417,38.89,56.94,4.17
k4_to_k8,fanout_search_realism,72,0.0000,0.0523,0.0000,-0.1111,0.0972,8.33,84.72,6.94
k4_to_k8,final_actionability_without_overclaiming,72,0.1944,0.1276,0.0000,-0.0694,0.4306,31.94,55.56,12.50
k4_to_k8,final_citation_support,72,0.0278,0.0195,0.0000,0.0000,0.0694,2.78,97.22,0.00
k4_to_k8,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,final_domain_safety,72,0.1250,0.1218,0.0000,-0.1250,0.3611,23.61,62.50,13.89
k4_to_k8,final_evidence_usage_quality,72,0.0792,0.0416,0.0000,0.0028,0.1667,9.72,88.89,1.39
k4_to_k8,final_groundedness,72,0.0792,0.0460,0.0000,-0.0111,0.1681,13.89,81.94,4.17
k4_to_k8,final_intent_satisfaction,72,0.3194,0.1171,0.0000,0.1042,0.5556,36.11,52.78,11.11
k4_to_k8,final_missing_constraint_awareness,72,0.1528,0.1394,0.0000,-0.1111,0.4167,31.94,47.22,20.83
k4_to_k8,final_non_genericness,72,0.3472,0.1222,0.0000,0.1111,0.5833,37.50,51.39,11.11
k4_to_k8,final_overpersonalization,72,-0.0972,0.1012,0.0000,-0.3056,0.0833,8.33,80.56,11.11
k4_to_k8,final_personalization_target_use,72,0.3750,0.1446,0.0000,0.1111,0.6528,38.89,40.28,20.83
k4_to_k8,final_safety,72,0.1667,0.1297,0.0000,-0.0976,0.4167,29.17,55.56,15.28
k4_to_k8,final_specificity,72,0.3125,0.1229,0.0000,0.0832,0.5556,33.33,56.94,9.72
k4_to_k8,final_uncertainty_calibration,72,0.1736,0.1313,0.0000,-0.0833,0.4097,33.33,52.78,13.89
k4_to_k8,final_unsupported_claim_risk,72,-0.0861,0.0474,0.0000,-0.1806,0.0002,4.17,81.94,13.89
k4_to_k8,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,realized_k,72,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k4_to_k8,retrieval_constraint_coverage,72,0.0000,0.0625,0.0000,-0.1250,0.1250,8.33,80.56,11.11
k4_to_k8,retrieval_disconfirming_coverage,72,-0.0139,0.0541,0.0000,-0.1250,0.0833,5.56,90.28,4.17
k4_to_k8,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,retrieval_evidence_relevance,72,-0.0208,0.0349,0.0000,-0.0835,0.0486,4.17,90.28,5.56
k4_to_k8,retrieval_result_persona_fit,72,-0.0069,0.0597,0.0000,-0.1181,0.1111,11.11,76.39,12.50
k4_to_k8,retrieval_source_quality,72,0.0000,0.0396,0.0000,-0.0833,0.0833,5.56,88.89,5.56
k4_to_k8,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,-0.0139,0.0139,0.0000,-0.0556,0.0000,0.00,98.61,1.39
k4_to_k8,search_latency,72,6.8714,0.3043,6.4963,6.3271,7.4424,100.00,0.00,0.00
k4_to_k8,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,synthesis_latency,72,5.0236,0.3118,4.7546,4.4152,5.6674,98.61,0.00,1.39
k4_to_k8,tavily_calls,72,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k4_to_k8,total_latency,72,11.8950,0.4651,11.1008,11.0684,12.8443,100.00,0.00,0.00
k4_to_k8,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,total_retrieved_context_size,72,24968.5694,309.4795,25482.0000,24360.8201,25603.1017,100.00,0.00,0.00
k4_to_k8,total_synthesis_context_size,72,21807.4306,476.8665,21989.5000,20927.2854,22785.8517,100.00,0.00,0.00
k4_to_k8,unique_domains,72,14.0694,0.3928,15.0000,13.3191,14.9167,100.00,0.00,0.00
k4_to_k8,unique_urls,72,17.6528,0.3072,18.5000,17.0278,18.3056,100.00,0.00,0.00
k1_to_k4,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,duplicate_url_rate,72,0.0869,0.0102,0.1000,0.0667,0.1066,62.50,37.50,0.00
k1_to_k4,fanout_faithfulness_to_user_query,72,0.1944,0.1040,0.0000,-0.0003,0.4167,16.67,75.00,8.33
k1_to_k4,fanout_overpersonalization_risk,72,0.1528,0.0471,0.0000,0.0694,0.2639,13.89,86.11,0.00
k1_to_k4,fanout_persona_field_use,72,2.5278,0.1219,3.0000,2.2639,2.7500,98.61,1.39,0.00
k1_to_k4,fanout_query_diversity,72,3.5833,0.0879,4.0000,3.4028,3.7361,100.00,0.00,0.00
k1_to_k4,fanout_query_specificity,72,2.2361,0.1074,2.0000,2.0139,2.4444,95.83,4.17,0.00
k1_to_k4,fanout_search_realism,72,0.1528,0.0731,0.0000,0.0000,0.2917,27.78,59.72,12.50
k1_to_k4,final_actionability_without_overclaiming,72,0.6319,0.1231,1.0000,0.3887,0.8611,61.11,30.56,8.33
k1_to_k4,final_citation_support,72,0.0417,0.0461,0.0000,-0.0417,0.1389,4.17,93.06,2.78
k1_to_k4,final_contradiction_with_evidence,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k1_to_k4,final_domain_safety,72,0.2083,0.1135,0.0000,0.0135,0.4444,27.78,59.72,12.50
k1_to_k4,final_evidence_usage_quality,72,0.2319,0.0797,0.0000,0.0958,0.4097,22.22,72.22,5.56
k1_to_k4,final_groundedness,72,0.1861,0.0832,0.0000,0.0361,0.3611,25.00,63.89,11.11
k1_to_k4,final_intent_satisfaction,72,0.8403,0.1254,1.0000,0.5833,1.0764,61.11,37.50,1.39
k1_to_k4,final_missing_constraint_awareness,72,0.7778,0.1573,1.0000,0.4583,1.0833,63.89,26.39,9.72
k1_to_k4,final_non_genericness,72,0.9167,0.1409,1.0000,0.6250,1.1809,61.11,37.50,1.39
k1_to_k4,final_overpersonalization,72,-0.2083,0.1582,0.0000,-0.5139,0.0972,11.11,69.44,19.44
k1_to_k4,final_personalization_target_use,72,0.8194,0.1471,1.0000,0.5139,1.1111,55.56,40.28,4.17
k1_to_k4,final_safety,72,0.0833,0.1149,0.0000,-0.1528,0.3056,27.78,58.33,13.89
k1_to_k4,final_specificity,72,0.6389,0.1224,1.0000,0.3889,0.8611,54.17,43.06,2.78
k1_to_k4,final_uncertainty_calibration,72,0.5556,0.1310,1.0000,0.3056,0.8056,52.78,36.11,11.11
k1_to_k4,final_unsupported_claim_risk,72,-0.1917,0.0846,0.0000,-0.3696,-0.0291,11.11,63.89,25.00
k1_to_k4,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,realized_k,72,3.0000,0.0000,3.0000,3.0000,3.0000,100.00,0.00,0.00
k1_to_k4,retrieval_constraint_coverage,72,1.9722,0.1440,2.0000,1.6944,2.2778,87.50,11.11,1.39
k1_to_k4,retrieval_disconfirming_coverage,72,-0.1806,0.0749,0.0000,-0.3472,-0.0556,0.00,90.28,9.72
k1_to_k4,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,retrieval_evidence_relevance,72,0.5139,0.1119,0.0000,0.3052,0.7365,38.89,54.17,6.94
k1_to_k4,retrieval_result_persona_fit,72,2.1944,0.1421,2.0000,1.9306,2.4722,88.89,11.11,0.00
k1_to_k4,retrieval_source_quality,72,0.8194,0.1034,1.0000,0.6250,1.0278,59.72,40.28,0.00
k1_to_k4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
