[run_batch] 432 runs planned.
[147/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_25
[148/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_24
[149/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_24
[150/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_25
[151/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[152/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[153/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_28
[154/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_30
[155/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[156/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_26
[157/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_29
[158/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[159/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_26
[160/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[161/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_27
[162/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[163/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[164/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_28
[165/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_31
[166/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[167/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_27
[168/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[169/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[170/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_28
[171/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
